Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,ERA,NameASCII,PlayerId,MLBAMID
"Davis Daniel","- - -",48.71778967312103,,,50.55771618354611,,,48.02148270379929,51.28533420315036,,,46.85649657249451,,,47.77244735637885,50.52494490774054,51.28533420315036,,5.126582433199051,"Davis Daniel",27582,669721
"Gus Varland","- - -",48.74488731109462,,,,,43.87004140218099,45.57564793602895,,,,38.52376894156138,,,45.57564793602895,,,,4.739362674307205,"Gus Varland",24737,681402
"Isaac Mattson","- - -",48.75313517151183,,,,,,50.298700155671106,52.79076396717745,,,47.91261548310324,,,50.298700155671106,,52.79076396717745,,3.375000531203197,"Isaac Mattson",20385,676755
"Chris Paddack","- - -",48.77070161327144,,46.10392400123895,,,44.10215131247916,46.554119911458756,47.74346478304123,,,40.453721741466985,,,46.84420255427304,44.45723680768694,47.74346478304123,,5.228268598256403,"Chris Paddack",20099,663978
"Bennett Sousa","- - -",48.78549525612279,,60.8612060546875,,,50.767370472783625,53.7078109393956,,,,,,,53.7078109393956,,,,4.536001003601296,"Bennett Sousa",21345,656986
"Carlos Rodón","- - -",48.79623228990223,,43.60127308494166,,,43.03065974308894,42.833958774747806,51.730156937453465,,,43.7970460213079,,,42.833958774747806,,51.730156937453465,,3.505721870671249,"Carlos Rodon",16137,607074
"Matt Bush","- - -",48.83770375119315,,45.06251183071652,,,55.92354083061218,45.189782847528875,48.63655260497448,,,,,,45.53493459601151,43.55031204223633,48.63655260497448,,4.500000503820399,"Matt Bush",1246,456713
"Jalen Beeks","- - -",48.884257499790706,,47.064378624288445,,,25.767330169677734,47.77037292480469,46.63618882497152,,,46.82082291451102,25.912227630615234,,47.77037292480469,,46.63618882497152,,3.9913051779652418,"Jalen Beeks",17192,656222
"Luke Williams","- - -",48.97933858235677,,,,,,,,,51.449236312002505,,,,,,,,3.272727574198727,"Luke Williams",19931,663897
"Dallas Keuchel","- - -",49.001600130142705,,47.90432513369003,,,45.05253586889422,43.476825819103,,,,46.60379013203246,,,43.476825819103,,,,5.447600565731789,"Dallas Keuchel",9434,572971
"Génesis Cabrera","- - -",49.05207052213775,,43.11302104167562,46.642130944036666,,45.591833302098465,10.506414413452148,51.67399895466099,,,45.55502006067223,,,,10.506414413452148,51.67399895466099,,4.197987732137634,"Genesis Cabrera",17490,650893
"Andre Granillo","- - -",49.13769999186198,,,,,42.072077105122226,40.27044128763777,,,,36.34972206115722,,,40.27044128763777,,,,6.230770728544126,"Andre Granillo",29542,701552
"Luis Frías","- - -",49.14984410797235,,43.53908308259734,,,49.05121368408203,51.07356309890747,,,,50.155765327247416,,,51.07356309890747,,,,7.377050888695737,"Luis Frias",21997,666818
"Jovani Morán","- - -",49.15594950003966,,50.62478463443709,,,45.92489242553711,46.734018691042635,47.15277099609375,,,45.14614009429521,,,46.716535619787265,46.7987060546875,47.15277099609375,,4.053825147379986,"Jovani Moran",20422,663558
"Edgar Santana","ATL",49.164852142333984,,,,,45.994520842723354,46.43935351505458,,,,,,,46.43935351505458,,,,3.5859379015947064,"Edgar Santana",17355,650828
"Nick Anderson","- - -",49.20827721316798,,36.88370132446289,,,44.50870068073273,,50.74892519583663,,,42.539411278658136,,,,,50.74892519583663,,3.500000456831029,"Nick Anderson",18337,623433
"Dylan Covey","- - -",49.21761622327439,,50.984289469452676,50.00583429205908,,50.889601884886275,51.96432685852051,50.673349380493164,,,48.339795793805806,,,52.08721827631411,51.022159830729166,50.673349380493164,,4.5789477706286075,"Dylan Covey",14825,592229
"Seth Johnson","PHI",49.239300331372895,,,44.21677017211914,,42.333370208740234,48.2265921274821,52.794691393452304,,,47.937242780412944,,,48.2265921274821,,52.794691393452304,,8.678572195259047,"Seth Johnson",26020,686751
"Chase Burns","CIN",49.26858649359809,,,,,50.42971611022949,47.59387900124133,50.114161355154856,,,43.1694043080012,,,47.59387900124133,,50.114161355154856,,3.083045115911827,"Chase Burns",35333,695505
"Josh Sborz","- - -",49.364862212526845,,,,,18.493555068969727,43.38991958073208,46.73836255636059,,,,,,43.38991958073208,,46.73836255636059,,4.781858242444787,"Josh Sborz",18323,622250
