SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
22009,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020900001,2009-10-27,CLE vs. BOS,L,45,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,0,67.8,0,2009-10,Regular Season
22009,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020900004,2009-10-27,LAC @ LAL,L,33,7,14,0.5,2,5,0.4,5,6,0.833,0,2,2,4,2,1,3,4,21,5,35.4,0,2009-10,Regular Season
22009,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,0020900004,2009-10-27,LAC @ LAL,L,11,0,2,0.0,0,0,,0,0,,2,3,5,0,0,0,2,2,0,-3,4.0,0,2009-10,Regular Season
22009,200768,Kyle Lowry,1610612745,HOU,Houston Rockets,0020900003,2009-10-27,HOU @ POR,L,27,3,7,0.429,1,1,1.0,5,6,0.833,1,2,3,8,2,0,1,4,12,-3,32.6,0,2009-10,Regular Season
22009,200768,Kyle Lowry,1610612745,HOU,Houston Rockets,0020900015,2009-10-28,HOU @ GSW,W,17,1,5,0.2,0,1,0.0,2,2,1.0,2,1,3,2,0,0,2,4,4,-6,8.6,0,2009-10,Regular Season
22009,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0020900012,2009-10-28,OKC vs. SAC,W,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,17,47.2,0,2009-10,Regular Season
22009,201145,Jeff Green,1610612760,OKC,Oklahoma City Thunder,0020900012,2009-10-28,OKC vs. SAC,W,39,9,13,0.692,4,5,0.8,2,2,1.0,0,7,7,2,1,2,2,3,24,19,42.4,0,2009-10,Regular Season
22009,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,0020900007,2009-10-28,TOR vs. CLE,W,24,3,6,0.5,0,1,0.0,2,2,1.0,0,5,5,1,1,1,1,2,8,11,20.5,0,2009-10,Regular Season
22009,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020900013,2009-10-28,NOH @ SAS,L,34,11,16,0.688,2,2,1.0,2,4,0.5,0,1,1,9,0,0,5,1,26,-5,35.7,0,2009-10,Regular Season
22009,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020900010,2009-10-28,MEM vs. DET,L,32,1,4,0.25,1,2,0.5,0,0,,0,0,0,3,1,0,2,3,3,-15,8.5,0,2009-10,Regular Season
