SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
22007,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020700008,2007-10-31,CLE vs. DAL,L,36,2,11,0.182,0,2,0.0,6,10,0.6,1,4,5,4,1,0,5,4,10,-12,20.0,0,2007-08,Regular Season
22007,201145,Jeff Green,1610612760,SEA,Seattle SuperSonics,0020700011,2007-10-31,SEA @ DEN,L,19,1,2,0.5,0,0,,3,7,0.429,0,2,2,0,1,1,2,1,5,-1,11.4,0,2007-08,Regular Season
22007,201142,Kevin Durant,1610612760,SEA,Seattle SuperSonics,0020700011,2007-10-31,SEA @ DEN,L,32,7,22,0.318,2,7,0.286,2,4,0.5,0,5,5,1,3,1,2,3,18,-8,35.5,0,2007-08,Regular Season
22007,200768,Kyle Lowry,1610612763,MEM,Memphis Grizzlies,0020700009,2007-10-31,MEM vs. SAS,L,21,2,6,0.333,0,1,0.0,4,4,1.0,0,5,5,4,0,1,1,1,8,-11,22.0,0,2007-08,Regular Season
22007,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020700010,2007-10-31,NOH vs. SAC,W,37,7,13,0.538,1,2,0.5,7,8,0.875,1,7,8,12,3,0,2,4,22,26,56.6,0,2007-08,Regular Season
22007,201145,Jeff Green,1610612760,SEA,Seattle SuperSonics,0020700014,2007-11-01,SEA vs. PHX,L,21,3,12,0.25,0,2,0.0,2,2,1.0,0,4,4,1,1,0,1,1,8,-5,16.3,0,2007-08,Regular Season
22007,201142,Kevin Durant,1610612760,SEA,Seattle SuperSonics,0020700014,2007-11-01,SEA vs. PHX,L,39,11,23,0.478,2,6,0.333,3,4,0.75,0,5,5,1,0,1,6,2,27,-3,31.5,0,2007-08,Regular Season
22007,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020700022,2007-11-02,NOH vs. POR,W,26,9,12,0.75,1,1,1.0,0,0,,0,3,3,6,2,0,2,3,19,18,35.6,0,2007-08,Regular Season
22007,201143,Al Horford,1610612737,ATL,Atlanta Hawks,0020700019,2007-11-02,ATL vs. DAL,W,23,3,4,0.75,0,0,,3,4,0.75,1,9,10,1,0,1,0,5,9,4,25.5,0,2007-08,Regular Season
22007,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020700020,2007-11-02,CLE vs. NYK,W,44,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,1,45,4,72.9,0,2007-08,Regular Season
