SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
22008,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0020800003,2008-10-28,POR @ LAL,L,4,1,1,1.0,0,0,,0,0,,1,2,3,0,1,0,1,1,2,-3,7.6,0,2008-09,Regular Season
22008,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020800001,2008-10-28,CLE @ BOS,L,36,9,21,0.429,0,4,0.0,4,8,0.5,1,6,7,6,2,1,3,4,22,-3,45.4,0,2008-09,Regular Season
22008,201572,Brook Lopez,1610612751,NJN,New Jersey Nets,0020800006,2008-10-29,NJN @ WAS,W,25,3,8,0.375,0,0,,2,3,0.667,1,7,8,1,1,2,0,3,8,12,28.1,0,2008-09,Regular Season
22008,200768,Kyle Lowry,1610612763,MEM,Memphis Grizzlies,0020800012,2008-10-29,MEM @ HOU,L,16,0,2,0.0,0,0,,0,0,,0,3,3,3,1,1,2,1,0,5,12.1,0,2008-09,Regular Season
22008,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020800012,2008-10-29,MEM @ HOU,L,32,3,8,0.375,0,2,0.0,2,2,1.0,0,4,4,3,1,0,0,2,8,-16,20.3,0,2008-09,Regular Season
22008,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020800015,2008-10-29,LAC vs. LAL,L,14,0,4,0.0,0,1,0.0,2,2,1.0,0,1,1,2,0,0,1,1,2,-19,5.2,0,2008-09,Regular Season
22008,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,0020800010,2008-10-29,OKC vs. MIL,L,22,4,9,0.444,1,2,0.5,4,6,0.667,4,0,4,4,0,1,2,2,13,5,24.8,0,2008-09,Regular Season
22008,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020800014,2008-10-29,NOH @ GSW,W,40,9,17,0.529,0,0,,3,4,0.75,0,5,5,11,3,1,3,4,21,16,52.5,0,2008-09,Regular Season
22008,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0020800010,2008-10-29,OKC vs. MIL,L,34,5,14,0.357,0,3,0.0,2,2,1.0,0,3,3,2,0,0,4,4,12,-14,14.6,0,2008-09,Regular Season
22008,201143,Al Horford,1610612737,ATL,Atlanta Hawks,0020800004,2008-10-29,ATL @ ORL,W,29,3,7,0.429,0,0,,4,6,0.667,4,5,9,4,1,1,2,5,10,5,30.8,0,2008-09,Regular Season
22008,201145,Jeff Green,1610612760,OKC,Oklahoma City Thunder,0020800010,2008-10-29,OKC vs. MIL,L,27,3,8,0.375,0,0,,3,4,0.75,1,3,4,2,2,0,5,3,9,-20,17.8,0,2008-09,Regular Season
22008,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0020800009,2008-10-29,MIN vs. SAC,W,19,5,8,0.625,0,0,,2,2,1.0,4,5,9,2,1,2,2,4,12,20,32.8,0,2008-09,Regular Season
22008,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020800018,2008-10-30,NOH @ PHX,W,39,6,14,0.429,1,2,0.5,7,8,0.875,1,7,8,10,3,0,5,2,20,15,48.6,0,2008-09,Regular Season
22008,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020800016,2008-10-30,CLE vs. CHA,W,30,7,15,0.467,0,2,0.0,8,12,0.667,2,7,9,9,0,1,5,3,22,10,44.3,0,2008-09,Regular Season
22008,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020800024,2008-10-31,LAC vs. DEN,L,2,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2,2.0,0,2008-09,Regular Season
22008,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0020800025,2008-10-31,POR vs. SAS,W,22,5,9,0.556,1,3,0.333,1,1,1.0,1,0,1,1,1,2,1,2,12,1,22.7,0,2008-09,Regular Season
22008,200768,Kyle Lowry,1610612763,MEM,Memphis Grizzlies,0020800023,2008-10-31,MEM vs. ORL,W,23,1,1,1.0,0,0,,6,7,0.857,0,4,4,4,1,1,0,0,8,11,24.8,0,2008-09,Regular Season
22008,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020800023,2008-10-31,MEM vs. ORL,W,25,3,9,0.333,1,4,0.25,0,0,,0,2,2,2,0,0,1,2,7,-9,11.4,0,2008-09,Regular Season
22008,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020800033,2008-11-01,NOH vs. CLE,W,36,7,13,0.538,0,1,0.0,10,11,0.909,2,1,3,15,1,0,1,0,24,21,52.1,0,2008-09,Regular Season
22008,201143,Al Horford,1610612737,ATL,Atlanta Hawks,0020800026,2008-11-01,ATL vs. PHI,W,35,4,7,0.571,0,0,,1,2,0.5,1,6,7,4,0,1,0,3,9,5,26.4,0,2008-09,Regular Season
22008,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020800038,2008-11-01,LAC @ UTA,L,4,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,1,0,4,4,3.0,0,2008-09,Regular Season
22008,201572,Brook Lopez,1610612751,NJN,New Jersey Nets,0020800031,2008-11-01,NJN vs. GSW,L,19,4,7,0.571,0,0,,2,2,1.0,2,6,8,1,2,2,3,6,10,-8,30.1,0,2008-09,Regular Season
22008,200768,Kyle Lowry,1610612763,MEM,Memphis Grizzlies,0020800034,2008-11-01,MEM @ CHI,L,30,3,5,0.6,0,0,,6,6,1.0,0,1,1,4,1,0,1,3,12,-2,21.2,0,2008-09,Regular Season
22008,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020800034,2008-11-01,MEM @ CHI,L,18,2,5,0.4,0,0,,2,2,1.0,1,2,3,2,1,0,2,0,6,-8,13.6,0,2008-09,Regular Season
22008,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020800033,2008-11-01,CLE @ NOH,L,38,6,15,0.4,0,3,0.0,3,4,0.75,2,5,7,13,3,0,5,3,15,-8,46.9,0,2008-09,Regular Season
22008,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0020800032,2008-11-01,MIN vs. DAL,L,23,3,7,0.429,0,2,0.0,3,3,1.0,2,1,3,1,0,0,1,2,9,0,13.1,0,2008-09,Regular Season
22008,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0020800035,2008-11-01,OKC @ HOU,L,35,11,20,0.55,0,0,,4,4,1.0,1,4,5,2,4,0,3,2,26,-1,44.0,0,2008-09,Regular Season
22008,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,0020800035,2008-11-01,OKC @ HOU,L,19,2,7,0.286,0,1,0.0,2,2,1.0,0,2,2,3,1,0,2,2,6,-17,13.9,0,2008-09,Regular Season
22008,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0020800039,2008-11-01,POR @ PHX,L,18,1,4,0.25,0,0,,2,2,1.0,1,0,1,0,3,0,1,2,4,10,13.2,0,2008-09,Regular Season
22008,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,0020800038,2008-11-01,LAC @ UTA,L,3,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1,3.2,0,2008-09,Regular Season
22008,201145,Jeff Green,1610612760,OKC,Oklahoma City Thunder,0020800035,2008-11-01,OKC @ HOU,L,35,4,9,0.444,0,0,,2,3,0.667,0,6,6,2,1,1,2,2,10,-6,24.2,0,2008-09,Regular Season
22008,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0020800041,2008-11-02,MIN @ OKC,L,18,1,2,0.5,0,1,0.0,2,2,1.0,1,3,4,1,1,1,0,2,4,-9,16.3,0,2008-09,Regular Season
22008,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0020800041,2008-11-02,OKC vs. MIN,W,38,7,21,0.333,0,0,,4,5,0.8,2,3,5,0,0,1,1,0,18,-2,26.0,0,2008-09,Regular Season
22008,201145,Jeff Green,1610612760,OKC,Oklahoma City Thunder,0020800041,2008-11-02,OKC vs. MIN,W,36,6,14,0.429,1,1,1.0,0,2,0.0,0,6,6,3,0,1,2,3,13,-4,25.7,0,2008-09,Regular Season
22008,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,0020800041,2008-11-02,OKC vs. MIN,W,25,6,13,0.462,0,1,0.0,2,3,0.667,1,0,1,2,2,0,3,1,14,7,21.2,0,2008-09,Regular Season
22008,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020800047,2008-11-03,LAC vs. UTA,L,3,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,1,2.0,0,2008-09,Regular Season
22008,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020800045,2008-11-03,MEM vs. GSW,W,29,1,6,0.167,0,0,,1,2,0.5,0,3,3,7,1,0,0,0,3,7,20.1,0,2008-09,Regular Season
22008,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020800046,2008-11-03,CLE @ DAL,W,34,8,20,0.4,0,2,0.0,13,15,0.867,2,6,8,3,2,1,1,1,29,13,51.1,0,2008-09,Regular Season
22008,200768,Kyle Lowry,1610612763,MEM,Memphis Grizzlies,0020800045,2008-11-03,MEM vs. GSW,W,19,2,5,0.4,1,1,1.0,1,2,0.5,1,3,4,3,0,0,2,3,6,4,13.3,0,2008-09,Regular Season
22008,201572,Brook Lopez,1610612751,NJN,New Jersey Nets,0020800048,2008-11-04,NJN vs. PHX,L,19,1,6,0.167,0,0,,0,0,,2,4,6,0,1,2,4,4,2,-12,14.2,0,2008-09,Regular Season
22008,201569,Eric Gordon,1610612746,LAC,Los Angeles Clippers,0020800063,2008-11-05,LAC @ LAL,L,4,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-3,-2.0,0,2008-09,Regular Season
22008,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0020800057,2008-11-05,MIN vs. SAS,L,37,4,13,0.308,1,2,0.5,5,6,0.833,4,5,9,2,0,3,0,2,14,2,36.8,0,2008-09,Regular Season
22008,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0020800059,2008-11-05,OKC vs. BOS,L,32,6,15,0.4,0,1,0.0,5,6,0.833,1,1,2,2,1,1,3,0,17,-1,25.4,0,2008-09,Regular Season
22008,201143,Al Horford,1610612737,ATL,Atlanta Hawks,0020800058,2008-11-05,ATL @ NOH,W,33,4,7,0.571,0,0,,2,4,0.5,1,7,8,4,1,1,1,2,10,2,30.6,0,2008-09,Regular Season
22008,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020800055,2008-11-05,CLE vs. CHI,W,36,13,23,0.565,0,2,0.0,15,16,0.938,2,7,9,6,4,0,5,1,41,22,67.8,0,2008-09,Regular Season
22008,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0020800061,2008-11-05,MEM @ SAC,L,17,1,3,0.333,0,1,0.0,2,3,0.667,0,0,0,6,1,0,2,2,4,-5,14.0,0,2008-09,Regular Season
22008,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0020800060,2008-11-05,POR @ UTA,L,18,2,4,0.5,1,1,1.0,0,0,,4,2,6,1,2,0,2,3,5,12,17.7,0,2008-09,Regular Season
22008,101108,Chris Paul,1610612740,NOH,New Orleans Hornets,0020800058,2008-11-05,NOH vs. ATL,L,37,8,15,0.533,2,4,0.5,4,5,0.8,2,3,5,11,3,0,2,3,22,6,51.5,0,2008-09,Regular Season
