SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500025,2005-11-01,NOK vs. SAC,W,34,3,7,0.429,1,3,0.333,6,6,1.0,0,8,8,4,2,1,4,0,13,23,33.6,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500006,2005-11-02,CLE vs. NOK,W,33,9,16,0.563,6,7,0.857,7,8,0.875,1,2,3,4,2,0,3,3,31,22,43.6,0,2005-06,Regular Season
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500006,2005-11-02,NOK @ CLE,L,29,5,11,0.455,1,4,0.25,2,2,1.0,1,4,5,3,2,0,4,1,13,-19,25.5,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500026,2005-11-04,CLE @ SAS,L,37,7,16,0.438,0,3,0.0,6,7,0.857,0,6,6,4,0,1,3,3,20,-19,33.2,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500036,2005-11-05,CLE @ MEM,L,41,14,29,0.483,4,9,0.444,4,5,0.8,0,2,2,6,2,0,2,2,36,-3,51.4,0,2005-06,Regular Season
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500038,2005-11-05,NOK @ HOU,W,34,6,14,0.429,1,5,0.2,2,3,0.667,1,3,4,8,2,0,1,4,15,4,36.8,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500046,2005-11-07,CLE @ TOR,W,36,9,17,0.529,0,2,0.0,9,12,0.75,0,3,3,6,1,2,1,3,27,0,47.6,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500058,2005-11-09,CLE vs. SEA,W,35,10,18,0.556,0,2,0.0,11,11,1.0,1,4,5,1,0,1,4,1,31,25,37.5,0,2005-06,Regular Season
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500063,2005-11-09,NOK vs. ORL,L,35,4,13,0.308,0,1,0.0,2,2,1.0,1,3,4,4,3,0,0,4,10,-6,29.8,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500076,2005-11-11,CLE vs. MEM,W,26,5,11,0.455,0,1,0.0,6,6,1.0,1,5,6,2,3,1,3,5,16,24,35.2,0,2005-06,Regular Season
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500085,2005-11-12,NOK vs. DAL,L,36,10,14,0.714,2,6,0.333,4,5,0.8,1,2,3,5,1,0,5,4,26,-11,35.1,0,2005-06,Regular Season
22005,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,0020500092,2005-11-13,CLE @ ORL,W,49,9,20,0.45,1,4,0.25,7,11,0.636,0,5,5,3,0,1,2,2,26,7,37.5,0,2005-06,Regular Season
22005,101108,Chris Paul,1610612740,NOK,New Orleans/Oklahoma City Hornets,0020500102,2005-11-15,NOK @ MIA,L,44,5,13,0.385,0,2,0.0,6,7,0.857,1,1,2,10,1,0,2,4,16,-2,34.4,0,2005-06,Regular Season
