SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
22011,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0021100005,2011-12-25,GSW vs. LAC,L,33,2,12,0.167,0,4,0.0,0,1,0.0,2,3,5,4,2,2,5,4,4,-5,23.0,0,2011-12,Regular Season
22011,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0021100005,2011-12-25,GSW vs. LAC,L,19,2,8,0.25,1,3,0.333,2,2,1.0,1,2,3,1,0,0,2,3,7,-10,10.1,0,2011-12,Regular Season
22011,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0021100004,2011-12-25,OKC vs. ORL,W,37,11,19,0.579,2,4,0.5,6,11,0.545,1,4,5,6,2,0,4,1,30,1,47.0,0,2011-12,Regular Season
22011,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,0021100005,2011-12-25,LAC @ GSW,W,31,1,2,0.5,0,0,,4,12,0.333,3,2,5,0,0,8,2,2,6,15,34.0,0,2011-12,Regular Season
22011,2544,LeBron James,1610612748,MIA,Miami Heat,0021100002,2011-12-25,MIA @ DAL,W,36,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,3,37,27,67.0,0,2011-12,Regular Season
22011,201935,James Harden,1610612760,OKC,Oklahoma City Thunder,0021100004,2011-12-25,OKC vs. ORL,W,32,4,11,0.364,1,4,0.25,10,12,0.833,0,6,6,3,0,0,0,3,19,8,30.7,0,2011-12,Regular Season
22011,101108,Chris Paul,1610612746,LAC,Los Angeles Clippers,0021100005,2011-12-25,LAC @ GSW,W,37,7,12,0.583,1,3,0.333,5,6,0.833,1,1,2,9,2,0,2,4,20,19,39.9,0,2011-12,Regular Season
22011,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,0021100004,2011-12-25,OKC vs. ORL,W,34,6,17,0.353,1,2,0.5,1,1,1.0,1,6,7,6,3,0,7,5,14,-5,33.4,0,2011-12,Regular Season
22011,202331,Paul George,1610612754,IND,Indiana Pacers,0021100010,2011-12-26,IND vs. DET,W,29,3,8,0.375,2,3,0.667,4,4,1.0,1,6,7,2,1,1,2,5,12,14,27.4,0,2011-12,Regular Season
22011,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0021100016,2011-12-26,POR vs. PHI,W,21,4,10,0.4,2,4,0.5,0,0,,3,2,5,1,0,0,1,3,10,-5,16.5,0,2011-12,Regular Season
22011,201935,James Harden,1610612760,OKC,Oklahoma City Thunder,0021100011,2011-12-26,OKC @ MIN,W,30,5,9,0.556,1,3,0.333,5,6,0.833,2,4,6,3,0,0,3,1,16,5,24.7,0,2011-12,Regular Season
22011,202681,Kyrie Irving,1610612739,CLE,Cleveland Cavaliers,0021100009,2011-12-26,CLE vs. TOR,L,26,2,12,0.167,1,5,0.2,1,1,1.0,0,3,3,7,1,0,1,2,6,-10,22.1,0,2011-12,Regular Season
22011,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0021100017,2011-12-26,GSW vs. CHI,W,37,7,12,0.583,1,3,0.333,6,7,0.857,1,6,7,10,6,0,4,4,21,11,58.4,0,2011-12,Regular Season
22011,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0021100011,2011-12-26,MIN vs. OKC,L,41,6,14,0.429,1,3,0.333,9,12,0.75,5,7,12,5,1,0,3,3,22,-4,43.9,0,2011-12,Regular Season
22011,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,0021100009,2011-12-26,TOR @ CLE,W,26,7,13,0.538,0,1,0.0,1,2,0.5,0,2,2,2,1,0,0,0,15,14,23.4,0,2011-12,Regular Season
22011,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0021100017,2011-12-26,GSW vs. CHI,W,11,0,2,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,1,0,8,6.6,0,2011-12,Regular Season
22011,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,0021100013,2011-12-26,MEM @ SAS,L,32,4,10,0.4,1,1,1.0,2,2,1.0,0,3,3,7,2,0,3,3,11,-1,28.1,0,2011-12,Regular Season
22011,201569,Eric Gordon,1610612740,NOH,New Orleans Hornets,0021100014,2011-12-26,NOH @ PHX,W,39,9,18,0.5,0,6,0.0,2,3,0.667,0,4,4,3,1,1,1,4,20,7,34.3,0,2011-12,Regular Season
22011,200768,Kyle Lowry,1610612745,HOU,Houston Rockets,0021100008,2011-12-26,HOU @ ORL,L,36,5,12,0.417,1,6,0.167,9,10,0.9,1,6,7,12,1,1,3,5,20,-4,49.4,0,2011-12,Regular Season
22011,201950,Jrue Holiday,1610612755,PHI,Philadelphia 76ers,0021100016,2011-12-26,PHI @ POR,L,36,4,10,0.4,1,2,0.5,4,4,1.0,2,1,3,2,1,0,6,6,13,-6,16.6,0,2011-12,Regular Season
22011,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,0021100011,2011-12-26,OKC @ MIN,W,36,10,21,0.476,0,2,0.0,8,8,1.0,2,4,6,6,3,0,7,4,28,10,46.2,0,2011-12,Regular Season
22011,202687,Bismack Biyombo,1610612766,CHA,Charlotte Bobcats,0021100007,2011-12-26,CHA vs. MIL,W,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7,-1.0,0,2011-12,Regular Season
22011,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,0021100013,2011-12-26,SAS vs. MEM,W,14,2,9,0.222,1,5,0.2,1,4,0.25,4,2,6,1,2,0,1,1,6,0,19.7,0,2011-12,Regular Season
22011,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,0021100011,2011-12-26,OKC @ MIN,W,38,12,23,0.522,2,5,0.4,7,7,1.0,1,4,5,3,1,0,2,2,33,7,44.5,0,2011-12,Regular Season
22011,201143,Al Horford,1610612737,ATL,Atlanta Hawks,0021100018,2011-12-27,ATL @ NJN,W,24,4,6,0.667,0,0,,0,0,,1,3,4,1,1,1,0,1,8,19,20.3,0,2011-12,Regular Season
22011,2544,LeBron James,1610612748,MIA,Miami Heat,0021100019,2011-12-27,MIA vs. BOS,W,36,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,3,26,-7,46.7,0,2011-12,Regular Season
22011,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,0021100020,2011-12-27,MIN @ MIL,L,40,6,18,0.333,0,4,0.0,19,24,0.792,9,11,20,2,0,0,3,1,31,-1,55.0,0,2011-12,Regular Season
22011,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,0021100021,2011-12-27,POR vs. SAC,W,29,4,12,0.333,1,4,0.25,6,6,1.0,3,2,5,1,0,0,1,1,15,16,21.5,0,2011-12,Regular Season
22011,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0021100032,2011-12-28,GSW vs. NYK,W,8,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,1,1.0,0,2011-12,Regular Season
22011,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,0021100029,2011-12-28,LAC @ SAS,L,33,2,4,0.5,0,0,,4,6,0.667,4,4,8,0,3,3,3,5,8,-11,32.6,0,2011-12,Regular Season
22011,202696,Nikola Vučević,1610612755,PHI,Philadelphia 76ers,0021100031,2011-12-28,PHI @ PHX,W,20,3,6,0.5,0,0,,0,0,,3,3,6,2,1,0,2,2,6,-3,17.2,0,2011-12,Regular Season
